,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,3.6,3.8,3.3,2.9,3.0,
1,3.6,3.8,3.6,3.0,3.2,3.7
2,3.6,3.5,3.4,3.1,3.2,3.6
3,,3.7,3.5,2.9,3.1,3.4
4,3.4,3.8,3.3,2.9,3.2,3.5
5,3.5,3.8,3.4,3.0,3.3,3.3
6,3.5,3.8,3.4,3.1,3.1,
7,3.6,3.8,,2.8,3.2,3.4
8,,3.6,,3.3,3.4,3.3
9,3.6,3.6,3.5,3.3,3.1,
10,3.5,3.7,3.6,3.2,3.2,3.4
11,3.5,,3.6,3.2,3.1,3.5
12,,3.7,,2.9,3.0,3.4
13,3.6,3.9,3.2,,3.3,3.5
14,3.5,3.8,3.6,2.9,3.4,3.4
15,3.5,3.9,3.5,2.9,3.0,3.7
16,3.5,3.7,,,3.1,3.5
17,3.5,3.8,3.5,3.0,3.2,3.6
18,3.5,3.9,,3.0,3.2,3.3
19,3.5,3.8,3.4,3.1,3.3,3.4
20,3.5,3.6,,3.0,3.0,3.5
21,3.5,3.9,,3.2,3.3,3.6
22,3.7,3.9,3.4,3.0,3.0,3.5
23,3.5,3.7,3.5,3.2,3.1,
24,3.6,3.8,3.4,3.0,3.3,3.6
25,3.7,3.7,3.4,3.1,3.2,
26,3.6,3.9,3.5,3.2,3.3,3.6
27,3.4,3.8,3.4,2.8,3.1,3.6
28,,3.6,3.6,2.7,3.3,3.4
29,3.5,3.6,3.5,3.0,3.1,3.4
30,3.9,3.8,,3.1,2.9,3.4
31,3.5,3.7,3.7,3.1,3.0,3.5
32,3.5,4.0,,3.1,3.1,3.5
33,3.3,3.8,,3.1,3.2,3.5
34,3.7,3.8,,2.8,3.3,3.5
35,3.6,,3.4,3.0,3.1,3.6
36,3.5,3.9,3.4,3.1,3.0,
37,3.6,3.7,3.3,3.2,3.0,3.5
38,3.6,3.6,3.5,3.1,3.1,3.4
39,3.5,3.6,3.3,3.2,3.1,3.5
40,3.6,3.8,3.6,3.1,3.2,3.5
41,3.7,3.8,,3.2,3.0,3.5
42,3.7,,,3.1,3.0,3.6
43,3.6,3.8,3.6,2.9,3.0,3.6
44,3.5,3.5,,2.9,3.1,3.5
45,3.6,3.9,,2.9,3.0,3.5
46,3.6,3.7,3.5,3.1,3.1,3.4
47,3.4,3.8,3.4,3.1,3.0,3.7
48,3.7,3.8,,2.9,3.1,3.5
49,3.6,4.0,,2.9,3.1,3.4
50,3.4,3.9,3.4,2.8,3.1,3.5
51,3.4,3.9,,3.1,3.0,3.7
52,3.5,3.8,,3.1,3.1,3.6
53,3.5,3.7,,3.1,3.1,3.8
54,3.5,3.8,3.5,2.9,3.2,3.4
55,3.6,3.7,3.6,2.9,3.1,3.7
56,3.7,3.7,3.5,3.0,3.1,3.6
57,3.5,3.8,,2.8,3.3,
58,3.5,3.6,3.5,3.1,3.2,3.5
59,3.4,3.9,3.4,2.9,3.1,3.6
60,3.4,3.8,3.4,3.2,3.2,3.6
61,3.5,3.9,3.6,2.9,3.1,3.6
62,3.5,3.7,3.4,3.1,3.2,3.6
63,3.5,3.8,,2.9,3.3,3.6
64,3.3,3.8,3.5,3.3,3.1,3.5
65,3.5,3.8,3.5,2.9,3.1,
66,3.5,3.8,3.5,3.1,3.1,3.6
67,3.6,3.8,3.4,3.0,3.2,3.6
68,3.5,3.6,3.6,3.1,3.2,3.5
69,3.5,3.7,3.3,3.2,3.0,3.5
70,3.5,3.7,,2.8,3.2,3.9
71,3.7,3.5,3.6,3.1,3.2,3.6
72,3.4,3.6,3.7,3.1,3.0,3.7
73,3.6,,3.5,2.7,3.2,3.5
74,3.5,3.9,3.5,3.0,3.1,3.6
75,3.6,3.8,3.4,2.9,3.1,3.6
76,3.7,4.0,3.6,3.0,3.0,3.7
77,3.5,3.7,3.4,3.0,3.1,3.7
78,3.5,3.9,,3.2,3.1,3.5
79,3.5,3.9,3.5,3.0,3.1,3.4
80,3.5,3.6,3.2,2.9,3.2,3.4
81,3.4,3.7,3.5,2.8,3.2,3.5
82,3.7,3.8,3.4,3.2,3.2,3.7
83,,3.8,3.5,3.1,3.1,3.6
84,3.5,3.8,,3.1,3.1,3.6
85,3.6,4.0,3.4,2.9,3.1,3.6
86,3.5,,3.6,3.1,3.1,3.4
87,3.5,3.7,,3.2,3.0,3.6
88,3.6,3.9,3.4,3.0,3.2,3.4
89,3.6,3.6,3.6,3.3,3.2,3.5
90,3.6,3.9,3.6,2.9,3.2,
91,3.5,3.8,3.5,3.2,3.1,3.4
92,3.6,3.8,3.5,3.0,3.2,3.6
93,3.7,3.9,3.6,3.0,3.1,3.6
94,3.5,3.8,3.5,2.9,3.2,3.5
95,3.8,3.6,3.5,2.9,3.0,3.4
96,3.4,3.6,3.4,3.1,3.1,3.6
97,3.6,3.9,3.3,3.0,3.2,3.4
98,3.5,3.7,,2.9,3.3,3.5
99,3.7,3.9,3.4,3.1,3.0,3.4
