temp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
0.9, 1, 1, 1, 3, 1, 3,"

3", 3, 3, 1, 1, 1, 3, 1, 2, 1, 1, 3, 1, 3, 1
0.9, 1,"

1", 1, 1, 1, 1, 3, 1, 3, 3, 1, 1,"

3","

1", 1, 2, 1, 1, 1, 1, 3
0.9, 1,"

3", 1, 3, 1, 2,"

I am not like this at all.", 2, 3, 6, 1, 1, 1, 1, 2, 2, 1, 1, 1, 3, 2
0.9, 1, 4, 1, 4, 1, 3, 6, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1
0.9, 1,"

1", 1,"

1","

1 = Very much like me
2 = Like me
3 = Somewhat like me", 2,"

5","

2", 1, 3, 1, 1, 1, 1, 1, 3, 3, 1,"

2","

3", 1
0.9, 2,"

1", 1, 3,"

1", 3, 5, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2,"

1","

3"
0.9, 3,"

1", 1, 1, 3, 2, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1,"

1", 1, 3
0.9, 1, 3, 1, 6, 1, 2,"

5", 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0.9, 1,"

1", 1, 1, 1,"

3", 5, 2,"

3", 2, 1, 1,"

1","

1", 1, 3, 1, 1, 1, 1,"

2"
0.9, 3, 4, 1, 3, 1, 2, 3, 1, 3, 2, 1, 1, 1, 1, 1, 6, 1, 2, 1, 1, 3
0.9, 1, 1, 1, 1, 3, 2,"

3", 1, 1, 2, 1, 1, 3, 1, 1, 4, 1, 1, 1, 1,"

3"
0.9, 1, 5, 1, 1, 1,"

3", 5, 1, 5, 3, 1, 1, 5, 1, 1, 3, 1, 1, 2, 1, 6
0.9, 1, 5, 1, 3, 6, 4,"

3", 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2,"

3", 3
0.9, 3, 6, 1, 3, 1, 2, 5, 1, 3, 2, 1, 1, 3, 1, 1, 3,"

3", 1, 1, 2, 1
0.9, 1, 6, 1,"

1","

1", I think it is important to do lots of different things in life., 6, 1, 5, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1
0.9, 3, 5, 1, 3, 1, 3, 5, 1, 2, 3, 1, 1,"

2", 1, 1,"

3", 3, 1, 1, 3, 1
