temp,Conformity,Tradition,Benevolence,Universalism,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security
0.0,4.0,4.0,6.0,5.333333333333333,5.5,4.0,4.0,5.0,5.0,6.0
0.1,4.99,5.54,6.0,6.0,6.0,5.0,5.415,6.0,6.0,6.0
0.2,4.88,5.375,6.0,6.0,5.97,5.13,5.35,5.9,5.93,6.0
0.3,4.64,5.185,6.0,5.996666666666666,6.0,5.215,5.305,5.89,5.59,5.99
0.4,4.565,5.175,5.985,5.97,5.895,5.175,5.23,5.655,5.54,5.99
0.5,4.61,5.185,5.965,5.97,5.885,5.21,5.11,5.635,5.235,5.97
0.6,4.36,4.915,5.945,5.916666666666666,5.77,5.24,5.135,5.585,5.285,5.86
0.7,4.2,4.995,5.87,5.85,5.785,5.185,4.98,5.535,5.13,5.735
0.8,4.385,4.69,5.92,5.843333333333334,5.72,5.13,5.06,5.32,4.97,5.765
0.9,4.015,4.955,5.91,5.795,5.63,5.08,5.025,5.28,4.69,5.65
1.0,4.06,4.915,5.84,5.695,5.595,5.105,4.93,5.165,4.63,5.605
TOT,4.47002997002997,5.091908091908092,5.943556443556443,5.903096903096903,5.824675324675325,5.145854145854146,5.152847152847153,5.595904095904096,5.2997002997003,5.856643356643357
