temp,Conformity,Tradition,Benevolence,Universalism,Self-Direction,Stimulation,Hedonism,Achievement,Power,Security
0.0,4.0 (nan),4.0 (nan),6.0 (nan),5.3333 (nan),5.5 (nan),4.0 (nan),4.0 (nan),5.0 (nan),5.0 (nan),6.0 (nan)
0.1,4.99 (0.1),5.54 (0.5581),6.0 (0.0),6.0 (0.0),6.0 (0.0),5.0 (0.0),5.415 (0.1888),6.0 (0.0),6.0 (0.0),6.0 (0.0)
0.2,4.88 (0.3769),5.375 (0.6904),6.0 (0.0),6.0 (0.0),5.97 (0.1714),5.13 (0.3148),5.35 (0.2611),5.9 (0.3015),5.93 (0.318),6.0 (0.0)
0.3,4.64 (0.5322),5.185 (0.6729),6.0 (0.0),5.9967 (0.0333),6.0 (0.0),5.215 (0.371),5.305 (0.3474),5.89 (0.3145),5.59 (0.6831),5.99 (0.1)
0.4,4.565 (0.7339),5.175 (0.7049),5.985 (0.0857),5.97 (0.0959),5.895 (0.304),5.175 (0.4106),5.23 (0.4842),5.655 (0.511),5.54 (0.7375),5.99 (0.1)
0.5,4.61 (0.8027),5.185 (0.6577),5.965 (0.1282),5.97 (0.1069),5.885 (0.2918),5.21 (0.4505),5.11 (0.5153),5.635 (0.5311),5.235 (0.903),5.97 (0.1714)
0.6,4.36 (0.8706),4.915 (0.9019),5.945 (0.1725),5.9167 (0.1796),5.77 (0.392),5.24 (0.4632),5.135 (0.5811),5.585 (0.6198),5.285 (0.8446),5.86 (0.3962)
0.7,4.2 (0.9017),4.995 (0.7898),5.87 (0.3304),5.85 (0.219),5.785 (0.3844),5.185 (0.5349),4.98 (0.6664),5.535 (0.6638),5.13 (0.9445),5.735 (0.5048)
0.8,4.385 (0.8067),4.69 (0.9634),5.92 (0.1975),5.8433 (0.2437),5.72 (0.4102),5.13 (0.669),5.06 (0.6207),5.32 (0.716),4.97 (0.9843),5.765 (0.5292)
0.9,4.015 (1.0951),4.955 (0.7491),5.91 (0.2501),5.795 (0.3114),5.63 (0.4359),5.08 (0.7168),5.025 (0.7398),5.28 (0.7987),4.69 (1.0244),5.65 (0.6648)
1.0,4.06 (0.9673),4.915 (0.9019),5.84 (0.3545),5.695 (0.4297),5.595 (0.506),5.105 (0.6864),4.93 (0.7213),5.165 (0.847),4.63 (1.1517),5.605 (0.6974)
TOT,4.47 (0.8295),5.0919 (0.8013),5.9436 (0.2039),5.9031 (0.2324),5.8247 (0.3619),5.1459 (0.5076),5.1528 (0.5645),5.5959 (0.6409),5.2997 (0.9381),5.8566 (0.4326)
