,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,0.16,0.03,-0.25,-0.04,0.16,-0.15,0.08,-0.02,-0.02
Tradition,0.16,1.0,-0.0,-0.12,-0.06,0.01,-0.14,0.06,-0.04,-0.01
Benevolence,0.03,-0.0,1.0,0.01,-0.04,0.09,-0.02,0.08,-0.05,0.15
Universalism,-0.25,-0.12,0.01,1.0,0.02,-0.15,-0.02,-0.07,-0.07,-0.03
Self_Direction,-0.04,-0.06,-0.04,0.02,1.0,0.04,-0.25,-0.13,0.07,0.11
Stimulation,0.16,0.01,0.09,-0.15,0.04,1.0,-0.2,-0.03,0.1,0.06
Hedonism,-0.15,-0.14,-0.02,-0.02,-0.25,-0.2,1.0,0.11,0.08,-0.06
Achievement,0.08,0.06,0.08,-0.07,-0.13,-0.03,0.11,1.0,-0.12,-0.19
Power,-0.02,-0.04,-0.05,-0.07,0.07,0.1,0.08,-0.12,1.0,-0.05
Security,-0.02,-0.01,0.15,-0.03,0.11,0.06,-0.06,-0.19,-0.05,1.0
