Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
1.0,0.09,0.11,0.14,0.17,-0.01,0.1,0.18,0.17,0.11
0.09,1.0,0.03,0.07,0.04,0.03,0.02,0.06,0.11,0.12
0.11,0.03,1.0,0.11,0.03,0.0,0.06,0.12,0.12,0.18
0.14,0.07,0.11,1.0,0.21,-0.03,0.13,0.17,0.16,0.17
0.17,0.04,0.03,0.21,1.0,0.07,0.09,0.17,0.22,0.06
-0.01,0.03,0.0,-0.03,0.07,1.0,-0.03,-0.0,-0.02,0.03
0.1,0.02,0.06,0.13,0.09,-0.03,1.0,0.11,0.18,0.08
0.18,0.06,0.12,0.17,0.17,-0.0,0.11,1.0,0.17,0.11
0.17,0.11,0.12,0.16,0.22,-0.02,0.18,0.17,1.0,0.1
0.11,0.12,0.18,0.17,0.06,0.03,0.08,0.11,0.1,1.0
