0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,TOT
4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
4.0,6.0,5.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5.33,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.67,6.0
5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.0,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5
5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.25,5.0,5.0,6.0
5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.5,6.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
