Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
1.0***,0.3***,0.33***,0.52***,0.28***,-0.52***,-0.29***,0.26***,0.26***,0.19***
0.3***,1.0***,0.14**,0.32***,0.51***,-0.31***,0.11*,0.74***,0.69***,0.65***
0.33***,0.14**,1.0***,0.68***,0.13**,-0.62***,-0.19***,0.36***,0.35***,0.23***
0.52***,0.32***,0.68***,1.0***,0.21***,-0.94***,-0.34***,0.5***,0.47***,0.44***
0.28***,0.51***,0.13**,0.21***,1.0***,-0.23***,0.1*,0.59***,0.62***,0.48***
-0.52***,-0.31***,-0.62***,-0.94***,-0.23***,1.0***,0.41***,-0.47***,-0.44***,-0.43***
-0.29***,0.11*,-0.19***,-0.34***,0.1*,0.41***,1.0***,0.19***,0.13**,0.25***
0.26***,0.74***,0.36***,0.5***,0.59***,-0.47***,0.19***,1.0***,0.92***,0.8***
0.26***,0.69***,0.35***,0.47***,0.62***,-0.44***,0.13**,0.92***,1.0***,0.62***
0.19***,0.65***,0.23***,0.44***,0.48***,-0.43***,0.25***,0.8***,0.62***,1.0***
